chrom	chrom_simple	part_name	centromere	length	addThis chrom_num
chr1A	1A	chr1A_part2	213	594102056	471304005 1
chr1B	1B	chr1B_part2	236	689851870	438720154 2
chr1D	1D	chr1D_part2	172	495453186	452179604 3
chr2A	2A	chr2A_part2	340	780798557	462376173 4
chr2B	2B	chr2B_part2	349	801256715	453218924 5
chr2D	2D	chr2D_part2	268	651852609	462216879 6
chr3A	3A	chr3A_part2	319	750843639	454103970 7
chr3B	3B	chr3B_part2	348	830829764	448155269 8
chr3D	3D	chr3D_part2	242	615552423	476235359 9
chr4A	4A	chr4A_part2	315	744588157	452555092 10
chr4B	4B	chr4B_part2	319	673617499	451014251 11
chr4D	4D	chr4D_part2	185	509857067	451004620 12
chr5A	5A	chr5A_part2	253	709773743	453230519 13
chr5B	5B	chr5B_part2	200	713149757	451372872 14
chr5D	5D	chr5D_part2	188	566080677	451901030 15
chr6A	6A	chr6A_part2	285	618079260	452440856 16
chr6B	6B	chr6B_part2	325	720988478	452077197 17
chr6D	6D	chr6D_part2	214	473592718	450509124 18
chr7A	7A	chr7A_part2	359	736706236	450046986 19
chr7B	7B	chr7B_part2	296	750620385	453822637 20
chr7D	7D	chr7D_part2	339	638686055	453812268 21
